Card,Type,Card_type,ATK,DEF,mana cost,Floop ability,Rarity
Nicelands Tower,,building,-,-,-,Creature in this lane heals 5 damage at start of turn,Very Rare
Obelisx of Vengeance,,building,-,-,-,Deal 4 damage to the opposing hero when your creature in this lane is destroyed,Algebraic Rare
Palace of Bone,,building,-,14,2,Deal 5 damage to the opposing creature when a new creature is placed in this lane,Rare
Puffy Castle,,building,-,-,-,Heal 5 damage from your hero when a creature in this lane is destroyed,Algebraic Rare
Pyramidia,,building,-,-,-,Creature in this lane gets +2 Defense for every card in your hand,Nice
Sand Castle,,building,-,16,2,Creature in this lane gets +4 Attack and +4 Defense,Cool
Sand Pyramid,,building,-,-,-,Creature in this lane heals 5 damage when it destroys a creature,Rare
Sand Sphinx,,building,-,-,-,Creature in this lane takes 5 less damage when attacked,Very Rare
School House,,building,-,-,-,Your creature in this lane gets +5 Defense when it uses a floop ability,Algebraic Rare
Shadow Pyramid,,building,-,-,-,Enemy may only place creatures Rarity of 3 or lower into this lane,Algebraic Rare
Silo of Truth,,building,-,-,-,Creature in this lane gets +2 Attack for every card in your opponent's hand,Rare
Spirit Tower,,building,-,-,-,Deal 5 damage to the opposing hero when a new creature is placed in this lane,Algebraic Rare
Stonehenge,,building,-,-,-,Floop ability costs 1 less Magic Point for creature in this lane,Algebraic Rare
Sun Pyramid,,building,-,-,-,Creature in this lane gets +4 Attack every time it uses a floop ability,Algebraic Rare
The Big Hen House,,building,-,-,-,Creature in this lane gets +4 Attack and +4 Defense,Rare
Woad Mobile Home,,building,-,-,-,Creature in this lane gets +3 Defense for each of your creatures on the field,Nice
